Comment,Designator,Footprint,LCSC Part #
"100n","C1, C2, C3","C0603","C14663"
"1N4148WS","D1, D2, D3, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D50, D62, D63, D64, D65","SMC","C2128"
"0805-Green","D4, D5, D6, D9","LED-0805","C2297"
"0603-White","D7, D8, D10, D11, D12, D13, D14, D15, D16, D17, D29, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D51, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D66, D67, D68, D69","LED-0603","C2290"
"USB-B","J2","S1VS_SNB",""
"Module:input/0.1","M1","",""
"Module:mcu/0.1","M2","",""
"Module:power5/0.1","M3","",""
"Module:sd/0.1","M4","",""
"Module:power12/0.1","M5","",""
"Module:knock/0.1","M6","",""
"Module:output/0.1","M7","",""
"Module:ign8/0.1","M8","",""
"Module:lin/0.1","M9","",""
"Module:can/0.1","M10","",""
"Module:stlink/0.1","M11","",""
"0","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11","R0805","C17477"
"1k","R12","R0603","C21190"
"4k7","R13, R17, R18, R20, R21, R22, R23","R0603-4","C1980"
"470","R14, R15, R16, R19","R0603-4","C25510"
"Switch SPST","S1, S2","SMD-2_2.9x3.9x1.7","C115357"
"Abs. Pressure Sensor","U1","",""
